fold,rmse,mae,r2
1,10.669340584828499,8.320125679172769,0.39791042011924904
2,10.632388013755355,8.310004001330935,0.39630658720351386
3,10.596318035566934,8.239532611469315,0.3994613129279513
4,10.546959200429606,8.218879297611998,0.39870127371950126
5,10.613407803929134,8.287007684453153,0.40072276074152
