rrh_idx,registros,snr_media,snr_mediana,potencia_media,potencia_mediana,power_range_media,cfo_medio
1,25320,16.520635007898896,20.7452,-50.33140548066906,-47.95417486786678,1.3760986493574163,4.217001425750395
2,26335,14.110622578317829,15.4764,-44.81240187981368,-44.85145378766993,1.4786319664100076,4.1565785000949305
3,25261,13.108944341079134,14.978,-51.58007015085168,-52.06754356717021,1.5793921879857145,4.439457693678001
4,25679,11.049902733751315,13.4878,-46.75612026095952,-46.93631434365077,1.3904770609272468,4.512443634876748
