area_type,registros,snr_media,snr_mediana,potencia_media,potencia_mediana,power_range_media,cfo_medio,velocidad_objetivo
drone_los,46610,19.539390362583138,19.4416,-42.941725986182725,-42.51650587814045,2.0395312469917153,1.4875777687191591,3.3040720875348635
pedestrian_nlos,38427,13.717914333671638,12.7222,-50.36192382393756,-52.09793824427174,1.0975860843384606,7.551555611939522,1.3
pedestrian_partial_los,5990,9.631427846410684,10.82565,-54.70721196221697,-54.23526611139738,0.7353238591580252,7.656925843071787,1.3
indoor,4887,-2.093303765091058,-2.7561,-61.14708295611327,-58.71476874996603,1.0369107259191472,5.924305913648455,1.3
drone_nlos,6681,-12.05363521927855,-12.2731,-59.09996489726793,-58.2163160633958,0.4002713106292363,1.4850255500673553,2.8
